data\ca\1022639\13963231\637633732.html,The Retreat House,"""What more can I say about The Retreat House.  The B&B is located 7kms up Bleu Mountain.  We drove in and the trees and homes where layered in snow.\nIf you want to relaxed and get away from things this is the perfect place.  Jen and Deb are amazing hosts.  Deb made us two amazing breakfasts and gave us recommendations on things to do and see.  We will definitely be back.",5,positive,"December 5, 2018",120 Tyrol Ave,,Ontario,N0H 2E0
data\ca\1022639\13963231\641552435.html,The Retreat House,"""This place was wonderfull! We stayed 2 nights and visited Blue Mountain for ski\u2019ing. \nThe room was great - very comfortable and cosy. There is a communial kitchen and lounge for relaxing- and that too is very comfortable and cosy. \nEverything you need is provided and the hosts goes out of their way to make your stay comfortable and memorable. \nBreakfasts was lovely- prepared fresh and homemade by the hosts. \n\nIt is situated at the top of the mountain and you need a car or a taxi to go down to the slopes. Close to the caves and the ive skating rink though.  \n\nWe loved staying here! The atmosphere, the actual house, the hosts, the food- we loved it all!",5,positive,"December 26, 2018",120 Tyrol Ave,,Ontario,N0H 2E0
data\ca\1022639\13963231\650610730.html,The Retreat House,"""My husband and I went for our anniversary, and we were definitely in for a treat!\n\nThis place is out of the hustle and bustle!\n\nBeautiful setting, with wonderful \u201Cstaff\u201D that made us feel like old-time friends.\n\nWe stayed in the house separate from the main house.\nSelf catering facility, but we went to the main \u2018house\u2019 because boy oh boy do they know how to cook.\n\nEach morning we were welcomed with beautiful Christmas music, a warm coffee\u002F tea\u002F hot chocolate, the smell of freshly baked bread and a different main course each morning.\n\nWould absolutely recommend them any day!!",5,positive,"February 6, 2019",120 Tyrol Ave,,Ontario,N0H 2E0
data\ca\1022639\13963231\672145484.html,The Retreat House,"""I came for a yoga retreat with some friends.  We stayed in the 2 storey house that did NOT have the kitchen...on the upper level in the open area with several beds.  We had booked late and this was all that was available.  It was fine but I would have rather had my own room.  The upper level did have a separate room for one guest and we all shared the one washroom on the main floor but had to shower in the main house.  The main floor was an open space used for yoga and the place was heated by a wood burning heater.  Windows all around to see the lovely nature outside.\nThere is a smaller house with a large bed that was used by the retreat organizers.\nThe main house has the kitchen, living and dining area and a washroom on the main floor, plus bedrooms and a washroom with shower on the upper level.\nThe staff are awesome and the food is amazing! It is quite rustic though with limited washroom facilities.",4,positive,"May 7, 2019",120 Tyrol Ave,,Ontario,N0H 2E0
data\ca\1022639\13963231\713132164.html,The Retreat House,"""Well, I had a very late arrival. As I walked towards the warm glow of candle light and happy chatter, I walk through the back to see a beautiful rustic dream. The ladies were hosting a group of ladies on a yoga retreat, with wine in their glasses, empty plates and smiles on their faces. The rooms scent was  filled with a Apple cinnamon, which was a homemade dessert, alongside vegan ice cream!!! \nThe ladies were super sweet and very and wonderful hosts and great to chat with in the morning as they made delicious breakfasts for everyone. \nA very relaxed and intimate set up, decorated beautifully in a Scandinavian chic, rustic chalet feel. \nLoved everything about the place and the bed was sooo comfy!\nI will be back! Thank you!!!",5,positive,"September 26, 2019",120 Tyrol Ave,,Ontario,N0H 2E0
data\ca\1022639\15683841\644739014.html,Blue View Chalets,"""We stayed at the chalet for a summer friends trip. Rooms were spacious and beautiful, the kitchen had lots of amenities and it was great to be able to cook our meals. The view is spectacular and made for such lovely mornings. Hosts were available, friendly, and very responsive to communication. We will definitely be back, highly recommend!",5,positive,"January 9, 2019",104 Brooker Blvd Units 1-8,,Ontario,L9Y 0L3
data\ca\1022639\15683841\644766911.html,Blue View Chalets,"""I've stayed at various Blue View Chalets over the years; most recently, this past Christmas, my family and I spent a few nights there. I've always had extremely positive experience - this is why we come back! The chalets are equipped with everything you might want or need during your stay. Booking has always been easy, and management has been a pleasure to deal with. We've especially enjoyed the access to the pool (summer), and using the hot tubs in the winter! The chalets are ideally located - very close to the village, but far enough that you can go for a brisk winter walk in nature. \n\nThank you Blue View Chalets team for welcoming us back, year after year!",5,positive,"January 9, 2019",104 Brooker Blvd Units 1-8,,Ontario,L9Y 0L3
data\ca\1022639\15683841\644831385.html,Blue View Chalets,"""I stayed here for a business retreat and can't recommend it more. Wish I knew about it earlier. The chalet was huge, with lots of room for a big group. Very comfortable, clean, and with a great view from the open concept main living area\u002Fkitchen, loved the big windows and high ceilings. The best part was the outdoor hot tub and even a steam room. Management was professional and friendly. All it needed was a butler (lol). Will stay here next time I'm in Blue Mountain.",5,positive,"January 9, 2019",104 Brooker Blvd Units 1-8,,Ontario,L9Y 0L3
data\ca\1022639\15683841\645057871.html,Blue View Chalets,"""Such a beautiful, conveniently located space. It\u2019s perfect for a family or to host larger groups. We stayed with a group of friends and especially enjoyed the large family area and the views. To top it all off, the hosts were amazing. We loved our stay and would highly recommend!",5,positive,"January 10, 2019",104 Brooker Blvd Units 1-8,,Ontario,L9Y 0L3
data\ca\1022639\15683841\645131272.html,Blue View Chalets,"""Beautiful accommodations, very spacious, with awesome views.  I was here for a weekend and would have loved to stay for a week. I really enjoyed all the amenities that were available on site. Lots of room!",5,positive,"January 11, 2019",104 Brooker Blvd Units 1-8,,Ontario,L9Y 0L3
